"","sample_name","farm","location","farming_system","plot","color","shape","Chlorophyll (SPAD)","Plant height (cm)","Root health score","Specific Leaf Area (g/cm2)","Yield (dt/ha)","leaf_area_cm2","leaf_weight_g"
"1","1_1_1","1_1","1","1","1","#30123BFF",16,51.325,76.5,1.33333333333333,26.2175993947267,7.3,209.399466666667,8.31253333333333
"2","1_1_2","1_1","1","1","2","#30123BFF",16,54.425,74,0.333333333333333,25.289899598311,7.3,205.327733333333,8.2819
"3","1_1_3","1_1","1","1","3","#30123BFF",16,48.8,75.5,1.33333333333333,25.3617690764565,7.3,156.549733333333,6.42593333333333
"4","2_1_1","2_1","2","1","1","#3E9BFEFF",16,54.425,114.5,2,23.3045616926306,40,135.454733333333,5.80566666666667
"5","2_1_2","2_1","2","1","2","#3E9BFEFF",16,56.525,125,1.66666666666667,32.3520805422263,40,127.600933333333,4.4859
"6","2_1_3","2_1","2","1","3","#3E9BFEFF",16,56.7,106.5,0.333333333333333,23.9666537141919,40,175.588466666667,7.7491
"7","2_2_3","2_2","2","2","3","#3E9BFEFF",17,61.85,NA,NA,NA,NA,NA,NA
"8","3_1_1","3_1","3","1","1","#46F884FF",16,55,124,2,22.8106201566964,29,168.129666666667,7.4175
"9","3_1_2","3_1","3","1","2","#46F884FF",16,54.1,124.5,2,29.601079783009,29,129.473733333333,4.39586666666667
"10","3_1_3","3_1","3","1","3","#46F884FF",16,54.2,132.5,1.33333333333333,27.5669737177576,29,144.317,5.1963
"11","3_2_1","3_2","3","2","1","#46F884FF",17,58.45,131,0.666666666666667,26.2683621297573,40.46,181.934466666667,6.90146666666667
"12","3_2_2","3_2","3","2","2","#46F884FF",17,59.15,129,1.33333333333333,21.1699777194104,40.46,128.01,6.0526
"13","3_2_3","3_2","3","2","3","#46F884FF",17,62.8,111,0.333333333333333,26.8929652160349,40.46,86.2054,3.2055
"14","4_1_1","4_1","4","1","1","#E1DD37FF",16,53.725,104.5,2,23.362479247964,2.3,109.166533333333,4.77873333333333
"15","4_1_2","4_1","4","1","2","#E1DD37FF",16,55.7,101.5,2,26.0384539428964,2.3,125.603,4.9868
"16","4_1_3","4_1","4","1","3","#E1DD37FF",16,54.15,111.5,1.66666666666667,26.5244777393804,2.3,154.6752,6.0086
"17","4_2_1","4_2","4","2","1","#E1DD37FF",17,51.5,100,1.66666666666667,29.7875562238142,27,160.3966,5.3551
"18","4_2_2","4_2","4","2","2","#E1DD37FF",17,51.375,120.5,0.666666666666667,31.9314625851935,27,172.3012,5.9634
"19","4_2_3","4_2","4","2","3","#E1DD37FF",17,52.725,110.5,1,22.6113391269737,27,167.393866666667,7.39946666666667
"20","5_1_1","5_1","5","1","1","#F05B12FF",16,52.35,70.5,1,27.6888738656209,0,115.6545,4.72225
"21","5_1_2","5_1","5","1","2","#F05B12FF",16,55.4,73,1.33333333333333,21.0260390880498,0,124.9548,5.97363333333333
"22","5_1_3","5_1","5","1","3","#F05B12FF",16,54.95,66.5,1.33333333333333,26.8079065184519,0,113.4482,4.15833333333333
"23","5_2_1","5_2","5","2","1","#F05B12FF",17,49.875,65,1.33333333333333,23.4281364218738,37,139.941533333333,6.32933333333333
"24","5_2_2","5_2","5","2","2","#F05B12FF",17,53.8,57,1,23.3435629852773,37,179.209133333333,8.23836666666667
"25","5_2_3","5_2","5","2","3","#F05B12FF",17,53.5,62,2,24.5943474330937,37,225.192533333333,9.0745
"26","6_1_1","6_1","6","1","1","#7A0403FF",16,50.925,NA,0.666666666666667,NA,0,NA,NA
"27","6_1_2","6_1","6","1","2","#7A0403FF",16,65.825,30,2,NA,0,NA,NA
"28","6_1_3","6_1","6","1","3","#7A0403FF",16,47.075,27.5,1,NA,0,NA,NA
"29","6_2_1","6_2","6","2","1","#7A0403FF",17,77.225,73.5,0.666666666666667,21.6729305280673,28.2,177.2312,8.28833333333333
"30","6_2_2","6_2","6","2","2","#7A0403FF",17,85.3,111.5,0.666666666666667,22.4695847636873,28.2,191.008066666667,8.5386
"31","6_2_3","6_2","6","2","3","#7A0403FF",17,90.6,120,0,21.8066379140118,28.2,219.0954,10.8196666666667
"32","2_2_1","2_2","2","2","1","#3E9BFEFF",17,NA,100.5,1,20.919475627582,NA,292.457,13.9525
